,CVE_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA
0,F29414,2019-09-03 00:00:00,2019-09-18,2019-09-04
1,F29415,2019-09-03 00:00:00,2019-10-03,2019-09-03
2,F29416,2019-09-03 00:00:00,2019-10-03,2019-09-03
3,F29417,2019-09-03 00:00:00,2019-10-03,2019-09-17
4,F29418,2019-09-03 00:00:00,2019-09-03,2019-09-10
5,F29419,2019-09-04 00:00:00,2019-09-19,
6,F29420,2019-09-04 00:00:00,2019-09-04,2019-09-04
7,F29421,2019-09-04 00:00:00,2019-09-04,
8,F29422,2019-09-02 00:00:00,2019-09-04,2019-09-04
9,F29423,2019-09-02 00:00:00,2019-09-04,2019-09-04
10,F29424,2019-09-03 00:00:00,2019-09-04,
11,F29425,2019-09-02 00:00:00,2019-09-04,
12,F29426,2019-09-04 00:00:00,2019-09-04,2019-09-11
13,F29427,2019-09-04 00:00:00,2019-09-04,
14,F29428,2019-09-04 00:00:00,2019-09-19,2019-09-11
15,F29429,2019-09-04 00:00:00,2019-09-04,
16,F29430,2019-09-05 00:00:00,2019-09-20,
17,F29431,2019-09-05 00:00:00,2019-09-05,2019-09-11
18,F29432,2019-09-05 00:00:00,2019-09-20,2019-09-06
19,F29433,2019-09-05 00:00:00,2019-09-05,2019-09-11
20,F29434,2019-09-06 00:00:00,2019-09-21,2019-09-06
21,F29435,2019-09-06 00:00:00,2019-10-06,
22,F29436,2019-09-06 00:00:00,2019-09-21,2019-09-12
23,F29437,2019-09-06 00:00:00,2019-09-06,
24,F29438,2019-09-06 00:00:00,2019-09-21,
25,F29439,2019-09-06 00:00:00,2019-09-06,
26,F29440,2019-09-09 00:00:00,2019-09-09,
27,F29441,2019-09-09 00:00:00,2019-09-09,2019-09-11
28,F29442,2019-09-09 00:00:00,2019-09-09,
29,F29443,2019-09-09 00:00:00,2019-09-09,
30,F29444,2019-09-09 00:00:00,2019-09-09,
31,F29445,2019-09-09 00:00:00,2019-09-09,
32,F29446,2019-09-09 00:00:00,2019-09-24,2019-09-13
33,F29447,2019-09-10 00:00:00,2019-09-10,
34,F29448,2019-09-10 00:00:00,2019-09-10,
35,F29449,2019-09-10 00:00:00,2019-09-10,
36,F29450,2019-09-10 00:00:00,2019-09-10,
37,F29451,2019-09-10 00:00:00,2019-09-10,
38,F29452,2019-09-10 00:00:00,2019-09-10,
39,F29453,2019-09-04 00:00:00,2019-09-10,
40,F29454,2019-09-10 00:00:00,2019-09-10,
41,F29455,2019-09-10 00:00:00,2019-09-10,
42,F29456,2019-09-10 00:00:00,2019-09-25,2019-09-10
43,F29457,2019-09-10 00:00:00,2019-09-25,2019-09-10
44,F29458,2019-09-10 00:00:00,2019-09-25,
45,F29459,2019-09-10 00:00:00,2019-09-10,
46,F29460,2019-09-10 00:00:00,2019-10-10,
47,F29461,2019-09-10 00:00:00,2019-09-25,
48,F29462,2019-09-10 00:00:00,2019-09-10,2019-09-12
49,F29463,2019-09-10 00:00:00,2019-11-09,2019-09-12
50,F29464,2019-09-11 00:00:00,2019-11-10,
51,F29465,2019-09-11 00:00:00,2019-09-11,
52,F29466,2019-09-11 00:00:00,2019-09-11,
53,F29467,2019-09-11 00:00:00,2019-09-11,
54,F29468,2019-09-11 00:00:00,2019-09-11,
55,F29469,2019-09-11 00:00:00,2019-09-11,
56,F29470,2019-09-11 00:00:00,2019-09-11,
57,F29471,2019-09-11 00:00:00,2019-09-11,
58,F29472,2019-09-11 00:00:00,2019-10-11,
59,F29473,2019-09-11 00:00:00,2019-10-11,
60,F29474,2019-09-11 00:00:00,2019-09-26,
61,F29475,2019-09-11 00:00:00,2019-09-11,
62,F29476,2019-09-11 00:00:00,2019-09-11,
63,F29477,2019-09-11 00:00:00,2019-11-10,
64,F29478,2019-09-11 00:00:00,2019-10-11,
65,F29479,2019-09-11 00:00:00,2019-09-11,
66,F29480,2019-09-12 00:00:00,2019-10-12,
67,F29481,2019-09-12 00:00:00,2019-10-12,
68,F29482,2019-09-12 00:00:00,2019-09-12,
69,F29483,2019-09-12 00:00:00,2019-09-12,
70,F29484,2019-09-12 00:00:00,2019-09-12,
71,F29485,2019-09-12 00:00:00,2019-09-27,2019-09-12
72,F29486,2019-09-12 00:00:00,2019-09-27,
73,F29487,2019-09-12 00:00:00,2019-10-12,
74,F29488,2019-09-12 00:00:00,2019-09-12,
75,F29489,2019-09-12 00:00:00,2019-10-12,
76,F29490,2019-09-12 00:00:00,2019-09-12,
77,F29491,2019-09-12 00:00:00,2019-09-27,
78,F29492,2019-09-12 00:00:00,2019-10-12,
79,F29493,2019-09-12 00:00:00,2019-10-12,
80,F29494,2019-09-12 00:00:00,2019-09-12,
81,F29495,2019-09-12 00:00:00,2019-09-12,
82,F29496,2019-09-12 00:00:00,2019-09-12,
83,F29497,2019-09-12 00:00:00,2019-09-12,
84,F29498,2019-09-12 00:00:00,2019-09-12,
85,F29499,2019-09-12 00:00:00,2019-09-12,
86,F29500,2019-09-13 00:00:00,2019-09-13,2019-09-13
87,F29501,2019-09-13 00:00:00,2019-09-13,
88,F29502,2019-09-13 00:00:00,2019-09-13,2019-09-17
89,F29503,2019-09-13 00:00:00,2019-09-13,
90,F29504,2019-09-13 00:00:00,2019-09-13,
91,F29505,2019-09-13 00:00:00,2019-09-13,
92,F29506,2019-09-13 00:00:00,2019-09-13,
93,F29507,2019-09-13 00:00:00,2019-10-13,
94,F29508,2019-09-13 00:00:00,2019-09-28,
95,F29509,2019-09-13 00:00:00,2019-10-13,
96,F29510,2019-09-13 00:00:00,2019-09-13,
97,F29511,2019-09-17 00:00:00,2019-09-17,
98,F29512,2019-09-17 00:00:00,2019-09-17,
99,F29513,2019-09-17 00:00:00,2019-09-17,
100,F29514,2019-09-17 00:00:00,2019-09-17,
101,F29515,2019-09-17 00:00:00,2019-09-17,
102,F29516,2019-09-17 00:00:00,2019-10-17,
103,F29517,2019-09-17 00:00:00,2019-09-17,
104,F29518,2019-09-17 00:00:00,2019-10-17,
105,,2019-09-17 00:00:00,2019-09-17,
106,F29520,2019-09-17 00:00:00,2019-09-17,
107,F29521,2019-09-17 00:00:00,2019-09-17,
108,F29522,2019-09-17 00:00:00,2019-09-17,
109,F29523,2019-09-17 00:00:00,2019-09-17,
110,F29524,2019-09-17 00:00:00,2019-09-17,
111,F29525,2019-09-10 00:00:00,2019-09-17,
112,F29526,2019-09-18 00:00:00,2019-09-18,
113,F29527,2019-09-18 00:00:00,2019-09-18,
114,F29528,2019-09-18 00:00:00,2019-10-03,2019-09-18
115,F29529,2019-09-18 00:00:00,2019-09-18,
116,F29530,2019-09-18 00:00:00,2019-10-03,
117,F29531,2019-09-18 00:00:00,2019-09-18,
118,F29532,2019-09-06 00:00:00,2019-09-18,
119,F29533,2019-09-18 00:00:00,2019-10-18,2019-09-26
120,F29534,2019-09-18 00:00:00,2019-10-03,
121,F29535,2019-09-18 00:00:00,2019-09-18,
122,F29536,2019-09-18 00:00:00,2019-09-18,
123,F29537,2019-09-18 00:00:00,2019-10-18,
124,F29538,2019-09-18 00:00:00,2019-10-18,
125,F29539,2019-09-18 00:00:00,2019-09-18,
126,F29540,2019-09-18 00:00:00,2019-09-18,
127,F29541,2019-09-18 00:00:00,2019-09-18,
128,F29542,2019-09-18 00:00:00,2019-10-03,
129,F29543,2019-09-18 00:00:00,2019-10-18,
130,F29544,2019-09-19 00:00:00,2019-09-19,
131,F29545,2019-09-19 00:00:00,2019-09-19,
132,F29546,2019-09-10 00:00:00,2019-09-19,
133,F29547,2019-09-19 00:00:00,2019-10-04,
134,F29548,2019-09-19 00:00:00,2019-09-19,
135,F29549,2019-09-19 00:00:00,2019-10-04,
136,F29550,2019-09-19 00:00:00,2019-09-19,
137,F29551,2019-09-19 00:00:00,2019-09-19,
138,F29552,2019-09-19 00:00:00,2019-09-19,
139,F29553,2019-09-10 00:00:00,2019-10-19,
140,F29554,2019-09-13 00:00:00,2019-11-03,2019-10-04
141,F29555,2019-09-19 00:00:00,2019-09-19,
142,F29556,2019-09-19 00:00:00,2019-09-19,
143,F29557,2019-09-19 00:00:00,2019-09-19,
144,F29558,2019-09-19 00:00:00,2019-11-18,2019-09-19
145,F29559,2019-09-19 00:00:00,2019-11-18,2019-10-02
146,F29560,2019-09-19 00:00:00,2019-09-19,
147,F29561,2019-09-19 00:00:00,2019-09-19,
148,F29562,2019-09-19 00:00:00,2019-09-19,
149,F29563,2019-09-19 00:00:00,2019-10-04,
150,F29564,2019-09-13 00:00:00,2019-10-19,
151,F29565,2019-09-19 00:00:00,2019-09-19,
152,F29566,2019-09-19 00:00:00,2019-09-19,
153,F29567,2019-09-19 00:00:00,2019-11-18,
154,F29568,2019-09-20 00:00:00,2019-09-20,
155,F29569,2019-09-20 00:00:00,2019-11-19,
156,F29570,2019-09-20 00:00:00,2019-09-20,2019-09-20
157,F29571,2019-09-20 00:00:00,2019-09-20,
158,F29572,2019-09-25 00:00:00,2019-09-20,
159,F29573,2019-09-20 00:00:00,2019-11-19,2019-09-20
160,F29574,2019-09-20 00:00:00,2019-09-20,
161,F29575,2019-09-20 00:00:00,2019-11-19,
162,F29576,2019-09-20 00:00:00,2019-10-20,
163,F29577,2019-09-20 00:00:00,2019-09-20,
164,F29578,2019-09-20 00:00:00,2019-09-20,2019-09-30
